"","Question","Response","Demographic","OctPoll","NovPoll","Difference"
"323","Q5. Laura Lavine","Unfavorable","Under 55",28,35,7
"324","Q5. Laura Lavine","Unfavorable","55+",26,42,16
"325","Q5. Laura Lavine","Unfavorable","Lib",35,53,18
"326","Q5. Laura Lavine","Unfavorable","Mod",28,38,10
"327","Q5. Laura Lavine","Unfavorable","Conserv",24,22,-2
"328","Q5. Laura Lavine","Unfavorable","White",31,43,12
"329","Q5. Laura Lavine","Unfavorable","Afr Amer /Black",18,23,5
"330","Q5. Laura Lavine","Unfavorable","<$50K",25,29,4
"331","Q5. Laura Lavine","Unfavorable","$50K-$100K",28,37,9
"332","Q5. Laura Lavine","Unfavorable","$100K+",33,53,20
"333","Q5. Laura Lavine","Unfavorable","Less than college",22,29,7
"334","Q5. Laura Lavine","Unfavorable","College degree",33,46,13
"335","Q5. Laura Lavine","Unfavorable","Yes",36,56,20
"336","Q5. Laura Lavine","Unfavorable","No",25,32,7
"337","Q5. Laura Lavine","Don't know/No opinion","Total",55,36,-19
"338","Q5. Laura Lavine","Don't know/No opinion","M",50,28,-22
"339","Q5. Laura Lavine","Don't know/No opinion","F",60,42,-18
"340","Q5. Laura Lavine","Don't know/No opinion","Dem",60,38,-22
"341","Q5. Laura Lavine","Don't know/No opinion","Rep",45,23,-22
"342","Q5. Laura Lavine","Don't know/No opinion","Ind/ Other",51,40,-11
"343","Q5. Laura Lavine","Don't know/No opinion","Perez Williams",64,36,-28
"344","Q5. Laura Lavine","Don't know/No opinion","Lavine",28,12,-16
"345","Q5. Laura Lavine","Don't know/No opinion","Nicoletti",66,53,-13
"346","Q5. Laura Lavine","Don't know/No opinion","Walsh",40,30,-10
"347","Q5. Laura Lavine","Don't know/No opinion","Under 55",60,38,-22
"348","Q5. Laura Lavine","Don't know/No opinion","55+",50,33,-17
"349","Q5. Laura Lavine","Don't know/No opinion","Lib",58,29,-29
"350","Q5. Laura Lavine","Don't know/No opinion","Mod",55,36,-19
"351","Q5. Laura Lavine","Don't know/No opinion","Conserv",49,35,-14
"352","Q5. Laura Lavine","Don't know/No opinion","White",50,28,-22
"353","Q5. Laura Lavine","Don't know/No opinion","Afr Amer /Black",67,57,-10
"354","Q5. Laura Lavine","Don't know/No opinion","<$50K",60,46,-14
"355","Q5. Laura Lavine","Don't know/No opinion","$50K-$100K",53,32,-21
"356","Q5. Laura Lavine","Don't know/No opinion","$100K+",47,22,-25
"357","Q5. Laura Lavine","Don't know/No opinion","Less than college",59,43,-16
"358","Q5. Laura Lavine","Don't know/No opinion","College degree",50,27,-23
"359","Q5. Laura Lavine","Don't know/No opinion","Yes",54,26,-28
"360","Q5. Laura Lavine","Don't know/No opinion","No",56,39,-17
"361","Q6. Ben Walsh ","Favorable","Total",52,66,14
"362","Q6. Ben Walsh ","Favorable","M",54,65,11
"363","Q6. Ben Walsh ","Favorable","F",51,67,16
"364","Q6. Ben Walsh ","Favorable","Dem",45,60,15
"365","Q6. Ben Walsh ","Favorable","Rep",54,80,26
"366","Q6. Ben Walsh ","Favorable","Ind/ Other",67,71,4
"367","Q6. Ben Walsh ","Favorable","Perez Williams",34,41,7
"368","Q6. Ben Walsh ","Favorable","Lavine",42,53,11
"369","Q6. Ben Walsh ","Favorable","Nicoletti",45,62,17
"370","Q6. Ben Walsh ","Favorable","Walsh",95,98,3
"371","Q6. Ben Walsh ","Favorable","Under 55",50,64,14
"372","Q6. Ben Walsh ","Favorable","55+",55,69,14
"373","Q6. Ben Walsh ","Favorable","Lib",50,66,16
"374","Q6. Ben Walsh ","Favorable","Mod",56,68,12
"375","Q6. Ben Walsh ","Favorable","Conserv",54,74,20
"376","Q6. Ben Walsh ","Favorable","White",64,73,9
"377","Q6. Ben Walsh ","Favorable","Afr Amer /Black",33,46,13
"378","Q6. Ben Walsh ","Favorable","<$50K",48,64,16
"379","Q6. Ben Walsh ","Favorable","$50K-$100K",54,73,19
"380","Q6. Ben Walsh ","Favorable","$100K+",66,68,2
"381","Q6. Ben Walsh ","Favorable","Less than college",51,62,11
"382","Q6. Ben Walsh ","Favorable","College degree",54,70,16
"383","Q6. Ben Walsh ","Favorable","Yes",55,66,11
"384","Q6. Ben Walsh ","Favorable","No",52,66,14
"385","Q6. Ben Walsh ","Unfavorable","Total",13,16,3
"386","Q6. Ben Walsh ","Unfavorable","M",18,19,1
"387","Q6. Ben Walsh ","Unfavorable","F",9,13,4
"388","Q6. Ben Walsh ","Unfavorable","Dem",13,20,7
"389","Q6. Ben Walsh ","Unfavorable","Rep",12,12,0
"390","Q6. Ben Walsh ","Unfavorable","Ind/ Other",14,13,-1
"391","Q6. Ben Walsh ","Unfavorable","Perez Williams",19,34,15
"392","Q6. Ben Walsh ","Unfavorable","Lavine",27,26,-1
"393","Q6. Ben Walsh ","Unfavorable","Nicoletti",13,11,-2
"394","Q6. Ben Walsh ","Unfavorable","Walsh",2,0,-2
"395","Q6. Ben Walsh ","Unfavorable","Under 55",12,17,5
"396","Q6. Ben Walsh ","Unfavorable","55+",14,15,1
"397","Q6. Ben Walsh ","Unfavorable","Lib",12,20,8
"398","Q6. Ben Walsh ","Unfavorable","Mod",13,18,5
"399","Q6. Ben Walsh ","Unfavorable","Conserv",15,9,-6
"400","Q6. Ben Walsh ","Unfavorable","White",10,14,4
"401","Q6. Ben Walsh ","Unfavorable","Afr Amer /Black",18,23,5
"402","Q6. Ben Walsh ","Unfavorable","<$50K",14,17,3
"403","Q6. Ben Walsh ","Unfavorable","$50K-$100K",9,12,3
"404","Q6. Ben Walsh ","Unfavorable","$100K+",18,23,5
"405","Q6. Ben Walsh ","Unfavorable","Less than college",13,16,3
"406","Q6. Ben Walsh ","Unfavorable","College degree",13,17,4
"407","Q6. Ben Walsh ","Unfavorable","Yes",14,17,3
"408","Q6. Ben Walsh ","Unfavorable","No",12,16,4
"409","Q6. Ben Walsh ","Don't know/No opinion","Total",35,17,-18
"410","Q6. Ben Walsh ","Don't know/No opinion","M",28,15,-13
"411","Q6. Ben Walsh ","Don't know/No opinion","F",40,19,-21
"412","Q6. Ben Walsh ","Don't know/No opinion","Dem",42,20,-22
"413","Q6. Ben Walsh ","Don't know/No opinion","Rep",34,8,-26
"414","Q6. Ben Walsh ","Don't know/No opinion","Ind/ Other",19,16,-3
"415","Q6. Ben Walsh ","Don't know/No opinion","Perez Williams",46,24,-22
"416","Q6. Ben Walsh ","Don't know/No opinion","Lavine",32,21,-11
"417","Q6. Ben Walsh ","Don't know/No opinion","Nicoletti",42,27,-15
"418","Q6. Ben Walsh ","Don't know/No opinion","Walsh",4,2,-2
"419","Q6. Ben Walsh ","Don't know/No opinion","Under 55",38,19,-19
"420","Q6. Ben Walsh ","Don't know/No opinion","55+",31,16,-15
"421","Q6. Ben Walsh ","Don't know/No opinion","Lib",38,14,-24
"422","Q6. Ben Walsh ","Don't know/No opinion","Mod",30,15,-15
"423","Q6. Ben Walsh ","Don't know/No opinion","Conserv",31,17,-14
"424","Q6. Ben Walsh ","Don't know/No opinion","White",27,13,-14
"425","Q6. Ben Walsh ","Don't know/No opinion","Afr Amer /Black",49,32,-17
"426","Q6. Ben Walsh ","Don't know/No opinion","<$50K",39,19,-20
"427","Q6. Ben Walsh ","Don't know/No opinion","$50K-$100K",37,14,-23
"428","Q6. Ben Walsh ","Don't know/No opinion","$100K+",17,9,-8
"429","Q6. Ben Walsh ","Don't know/No opinion","Less than college",36,22,-14
"430","Q6. Ben Walsh ","Don't know/No opinion","College degree",33,13,-20
"431","Q6. Ben Walsh ","Don't know/No opinion","Yes",31,17,-14
"432","Q6. Ben Walsh ","Don't know/No opinion","No",36,17,-19
"433","Q7. Howie Hawkins ","Favorable","Total",37,43,6
"434","Q7. Howie Hawkins ","Favorable","M",37,43,6
"435","Q7. Howie Hawkins ","Favorable","F",37,42,5
"436","Q7. Howie Hawkins ","Favorable","Dem",42,43,1
"437","Q7. Howie Hawkins ","Favorable","Rep",28,38,10
"438","Q7. Howie Hawkins ","Favorable","Ind/ Other",35,44,9
"439","Q7. Howie Hawkins ","Favorable","Perez Williams",40,43,3
"440","Q7. Howie Hawkins ","Favorable","Lavine",19,33,14
"441","Q7. Howie Hawkins ","Favorable","Nicoletti",28,30,2
"442","Q7. Howie Hawkins ","Favorable","Walsh",36,40,4
"443","Q7. Howie Hawkins ","Favorable","Under 55",36,43,7
"444","Q7. Howie Hawkins ","Favorable","55+",39,42,3
"445","Q7. Howie Hawkins ","Favorable","Lib",54,56,2
"446","Q7. Howie Hawkins ","Favorable","Mod",40,43,3
"447","Q7. Howie Hawkins ","Favorable","Conserv",20,22,2
"448","Q7. Howie Hawkins ","Favorable","White",40,46,6
"449","Q7. Howie Hawkins ","Favorable","Afr Amer /Black",39,35,-4
"450","Q7. Howie Hawkins ","Favorable","<$50K",34,40,6
"451","Q7. Howie Hawkins ","Favorable","$50K-$100K",38,39,1
"452","Q7. Howie Hawkins ","Favorable","$100K+",46,48,2
"453","Q7. Howie Hawkins ","Favorable","Less than college",30,30,0
"454","Q7. Howie Hawkins ","Favorable","College degree",46,56,10
"455","Q7. Howie Hawkins ","Favorable","Yes",43,48,5
"456","Q7. Howie Hawkins ","Favorable","No",35,40,5
"457","Q7. Howie Hawkins ","Unfavorable","Total",30,31,1
"458","Q7. Howie Hawkins ","Unfavorable","M",36,36,0
"459","Q7. Howie Hawkins ","Unfavorable","F",26,27,1
"460","Q7. Howie Hawkins ","Unfavorable","Dem",21,29,8
"461","Q7. Howie Hawkins ","Unfavorable","Rep",41,43,2
"462","Q7. Howie Hawkins ","Unfavorable","Ind/ Other",40,27,-13
"463","Q7. Howie Hawkins ","Unfavorable","Perez Williams",26,25,-1
"464","Q7. Howie Hawkins ","Unfavorable","Lavine",60,47,-13
"465","Q7. Howie Hawkins ","Unfavorable","Nicoletti",24,24,0
"466","Q7. Howie Hawkins ","Unfavorable","Walsh",40,42,2
"467","Q7. Howie Hawkins ","Unfavorable","Under 55",23,25,2
"468","Q7. Howie Hawkins ","Unfavorable","55+",39,38,-1
"469","Q7. Howie Hawkins ","Unfavorable","Lib",16,22,6
"470","Q7. Howie Hawkins ","Unfavorable","Mod",30,33,3
"471","Q7. Howie Hawkins ","Unfavorable","Conserv",45,49,4
"472","Q7. Howie Hawkins ","Unfavorable","White",33,34,1
"473","Q7. Howie Hawkins ","Unfavorable","Afr Amer /Black",21,27,6
"474","Q7. Howie Hawkins ","Unfavorable","<$50K",25,26,1
"475","Q7. Howie Hawkins ","Unfavorable","$50K-$100K",32,38,6
"476","Q7. Howie Hawkins ","Unfavorable","$100K+",37,33,-4
"477","Q7. Howie Hawkins ","Unfavorable","Less than college",33,33,0
"478","Q7. Howie Hawkins ","Unfavorable","College degree",27,29,2
"479","Q7. Howie Hawkins ","Unfavorable","Yes",26,40,14
"480","Q7. Howie Hawkins ","Unfavorable","No",32,29,-3
"481","Q7. Howie Hawkins ","Don't know/No opinion","Total",33,26,-7
"482","Q7. Howie Hawkins ","Don't know/No opinion","M",27,21,-6
"483","Q7. Howie Hawkins ","Don't know/No opinion","F",37,31,-6
"484","Q7. Howie Hawkins ","Don't know/No opinion","Dem",37,28,-9
"485","Q7. Howie Hawkins ","Don't know/No opinion","Rep",31,19,-12
"486","Q7. Howie Hawkins ","Don't know/No opinion","Ind/ Other",25,29,4
"487","Q7. Howie Hawkins ","Don't know/No opinion","Perez Williams",35,32,-3
"488","Q7. Howie Hawkins ","Don't know/No opinion","Lavine",21,20,-1
"489","Q7. Howie Hawkins ","Don't know/No opinion","Nicoletti",47,46,-1
"490","Q7. Howie Hawkins ","Don't know/No opinion","Walsh",24,18,-6
"491","Q7. Howie Hawkins ","Don't know/No opinion","Under 55",41,32,-9
"492","Q7. Howie Hawkins ","Don't know/No opinion","55+",23,20,-3
"493","Q7. Howie Hawkins ","Don't know/No opinion","Lib",30,22,-8
"494","Q7. Howie Hawkins ","Don't know/No opinion","Mod",30,24,-6
"495","Q7. Howie Hawkins ","Don't know/No opinion","Conserv",35,29,-6
"496","Q7. Howie Hawkins ","Don't know/No opinion","White",27,20,-7
"497","Q7. Howie Hawkins ","Don't know/No opinion","Afr Amer /Black",40,39,-1
"498","Q7. Howie Hawkins ","Don't know/No opinion","<$50K",41,34,-7
"499","Q7. Howie Hawkins ","Don't know/No opinion","$50K-$100K",30,23,-7
"500","Q7. Howie Hawkins ","Don't know/No opinion","$100K+",17,19,2
"501","Q7. Howie Hawkins ","Don't know/No opinion","Less than college",37,37,0
"502","Q7. Howie Hawkins ","Don't know/No opinion","College degree",27,15,-12
"503","Q7. Howie Hawkins ","Don't know/No opinion","Yes",31,12,-19
"504","Q7. Howie Hawkins ","Don't know/No opinion","No",33,31,-2
"505","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","Total",35,34,-1
"506","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","M",32,34,2
"507","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","F",38,34,-4
"508","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","Dem",55,47,-8
"509","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","Rep",5,9,4
"510","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","Ind/ Other",17,28,11
"511","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","Under 55",36,39,3
"512","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","55+",35,29,-6
"513","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","Lib",57,43,-14
"514","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","Mod",32,35,3
"515","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","Conserv",15,19,4
"516","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","White",26,28,2
"517","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","Afr Amer /Black",68,57,-11
"518","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","<$50K",39,38,-1
"519","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","$50K-$100K",36,36,0
"520","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","$100K+",29,26,-3
"521","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","Less than college",39,37,-2
"522","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","College degree",31,32,1
"523","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","Yes",40,38,-2
"524","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Juanita Perez Williams, the Democrat","No",33,33,0
"525","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","Total",9,7,-2
"526","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","M",12,8,-4
"527","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","F",7,6,-1
"528","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","Dem",2,2,0
"529","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","Rep",30,24,-6
"530","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","Ind/ Other",10,5,-5
"531","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","Under 55",9,8,-1
"532","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","55+",10,6,-4
"533","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","Lib",1,2,1
"534","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","Mod",5,5,0
"535","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","Conserv",26,21,-5
"536","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","White",11,9,-2
"537","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","Afr Amer /Black",2,1,-1
"538","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","<$50K",8,6,-2
"539","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","$50K-$100K",9,7,-2
"540","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","$100K+",15,10,-5
"541","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","Less than college",9,8,-1
"542","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","College degree",10,7,-3
"543","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","Yes",3,5,2
"544","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Laura Lavine, the Republican","No",11,8,-3
"545","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","Total",9,6,-3
"546","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","M",7,6,-1
"547","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","F",10,7,-3
"548","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","Dem",9,7,-2
"549","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","Rep",15,3,-12
"550","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","Ind/ Other",7,7,0
"551","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","Under 55",6,5,-1
"552","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","55+",12,8,-4
"553","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","Lib",5,5,0
"554","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","Mod",13,6,-7
"555","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","Conserv",10,5,-5
"556","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","White",9,5,-4
"557","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","Afr Amer /Black",11,11,0
"558","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","<$50K",11,11,0
"559","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","$50K-$100K",9,2,-7
"560","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","$100K+",2,5,3
"561","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","Less than college",10,11,1
"562","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","College degree",7,2,-5
"563","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","Yes",5,4,-1
"564","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Joe Nicoletti on the Working Families Party line","No",10,7,-3
"565","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","Total",28,36,8
"566","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","M",32,36,4
"567","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","F",25,35,10
"568","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","Dem",16,30,14
"569","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","Rep",37,47,10
"570","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","Ind/ Other",45,38,-7
"571","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","Under 55",27,31,4
"572","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","55+",28,40,12
"573","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","Lib",17,35,18
"574","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","Mod",35,39,4
"575","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","Conserv",32,39,7
"576","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","White",37,42,5
"577","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","Afr Amer /Black",3,11,8
"578","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","<$50K",26,28,2
"579","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","$50K-$100K",29,43,14
"580","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","$100K+",33,43,10
"581","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","Less than college",27,31,4
"582","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","College degree",29,40,11
"583","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","Yes",35,36,1
"584","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Ben Walsh on the Independence Party line","No",25,35,10
"585","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","Total",5,5,0
"586","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","M",6,6,0
"587","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","F",5,4,-1
"588","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","Dem",5,5,0
"589","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","Rep",3,4,1
"590","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","Ind/ Other",6,7,1
"591","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","Under 55",5,6,1
"592","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","55+",5,4,-1
"593","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","Lib",11,8,-3
"594","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","Mod",2,4,2
"595","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","Conserv",3,4,1
"596","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","White",6,7,1
"597","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","Afr Amer /Black",1,1,0
"598","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","<$50K",3,5,2
"599","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","$50K-$100K",6,4,-2
"600","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","$100K+",7,7,0
"601","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","Less than college",4,3,-1
"602","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","College degree",6,8,2
"603","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","Yes",8,5,-3
"604","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Howie Hawkins on the Green Party line","No",4,5,1
"605","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","Total",14,12,-2
"606","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","M",11,10,-1
"607","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","F",16,13,-3
"608","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","Dem",12,8,-4
"609","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","Rep",10,13,3
"610","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","Ind/ Other",14,14,0
"611","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","Under 55",17,11,-6
"612","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","55+",9,13,4
"613","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","Lib",9,7,-2
"614","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","Mod",13,11,-2
"615","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","Conserv",14,13,-1
"616","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","White",11,8,-3
"617","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","Afr Amer /Black",15,19,4
"618","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","<$50K",13,12,-1
